Character;Sentence;Sentence_tokenized;Sentence_lemmatized;Sentence_cleared
Neville;I ignored one from my gran once. ;['i', 'ignored', 'one', 'from', 'my', 'gran', 'once'];['i', 'ignored', 'one', 'from', 'my', 'gran', 'once'];['ignored', 'one', 'gran']
Neville;It was horrible.;['it', 'was', 'horrible'];['it', 'wa', 'horrible'];['horrible']
Mrs. Weasley;RONALD WEASLEY! ;['ronald', 'weasley'];['ronald', 'weasley'];['ronald', 'weasley']
Mrs. Weasley;HOW DARE YOU STEAL THAT CAR!;['how', 'dare', 'you', 'steal', 'that', 'car'];['how', 'dare', 'you', 'steal', 'that', 'car'];['dare', 'steal', 'car']
Mrs. Weasley;I AM ABSOLUTELY DISGUSTED! ;['i', 'am', 'absolutely', 'disgusted'];['i', 'am', 'absolutely', 'disgusted'];['absolutely', 'disgusted']
Mrs. Weasley;YOUR FATHER'S NOW FACING AN INQUIRY AT WORK AND IT'S ENTIRELY YOUR FAULT! ;['your', 'father', 'now', 'facing', 'an', 'inquiry', 'at', 'work', 'and', 'it', 'entirely', 'your', 'fault'];['your', 'father', 'now', 'facing', 'an', 'inquiry', 'at', 'work', 'and', 'it', 'entirely', 'your', 'fault'];['father', 'facing', 'inquiry', 'work', 'entirely', 'fault']
Mrs. Weasley;IF YOU PUT ANOTHER TOE OUT OF LINE WE'LL BRING YOU STRAIGHT HOME!;['if', 'you', 'put', 'another', 'toe', 'out', 'of', 'line', 'we', 'bring', 'you', 'straight', 'home'];['if', 'you', 'put', 'another', 'toe', 'out', 'of', 'line', 'we', 'bring', 'you', 'straight', 'home'];['put', 'another', 'toe', 'line', 'bring', 'straight', 'home']
Mrs. Weasley;And, Ginny, dear, congratulations on making Gryffindor.;['and', 'ginny', 'dear', 'congratulations', 'on', 'making', 'gryffindor'];['and', 'ginny', 'dear', 'congratulation', 'on', 'making', 'gryffindor'];['ginny', 'dear', 'congratulation', 'making', 'gryffindor']
Mrs. Weasley;Your father and I are so proud.;['your', 'father', 'and', 'i', 'are', 'so', 'proud'];['your', 'father', 'and', 'i', 'are', 'so', 'proud'];['father', 'proud']
Gilderoy Lockhart;Let me introduce you to your new Defense Against the Dark Arts Teacher. ;['let', 'me', 'introduce', 'you', 'to', 'your', 'new', 'defense', 'against', 'the', 'dark', 'arts', 'teacher'];['let', 'me', 'introduce', 'you', 'to', 'your', 'new', 'defense', 'against', 'the', 'dark', 'art', 'teacher'];['let', 'introduce', 'new', 'defense', 'dark', 'art', 'teacher']
Gilderoy Lockhart;Me. Gilderoy Lockhart, Order of Merlin, Third Class, Honorary Member of the Dark Force Defense League and five times winner of Witch Weekly's Most-Charming-Smile Award  ;['me', 'gilderoy', 'lockhart', 'order', 'of', 'merlin', 'third', 'class', 'honorary', 'member', 'of', 'the', 'dark', 'force', 'defense', 'league', 'and', 'five', 'times', 'winner', 'of', 'witch', 'weekly', 'award'];['me', 'gilderoy', 'lockhart', 'order', 'of', 'merlin', 'third', 'class', 'honorary', 'member', 'of', 'the', 'dark', 'force', 'defense', 'league', 'and', 'five', 'time', 'winner', 'of', 'witch', 'weekly', 'award'];['gilderoy', 'lockhart', 'order', 'merlin', 'third', 'class', 'honorary', 'member', 'dark', 'force', 'defense', 'league', 'five', 'time', 'winner', 'witch', 'weekly', 'award']
Gilderoy Lockhart;But I don't talk about that. ;['but', 'i', 'do', 'talk', 'about', 'that'];['but', 'i', 'do', 'talk', 'about', 'that'];['talk']
Gilderoy Lockhart;I didn't get rid of the Bandon Banshee by smiling at her!;['i', 'did', 'get', 'rid', 'of', 'the', 'bandon', 'banshee', 'by', 'smiling', 'at', 'her'];['i', 'did', 'get', 'rid', 'of', 'the', 'bandon', 'banshee', 'by', 'smiling', 'at', 'her'];['rid', 'bandon', 'banshee', 'smiling']
Gilderoy Lockhart;Now, be warned.;['now', 'be', 'warned'];['now', 'be', 'warned'];['warned']
Gilderoy Lockhart;It is my job to arm you against the foulest creatures known to wizardkind.;['it', 'is', 'my', 'job', 'to', 'arm', 'you', 'against', 'the', 'foulest', 'creatures', 'known', 'to', 'wizardkind'];['it', 'is', 'my', 'job', 'to', 'arm', 'you', 'against', 'the', 'foulest', 'creature', 'known', 'to', 'wizardkind'];['job', 'arm', 'foulest', 'creature', 'known', 'wizardkind']
Gilderoy Lockhart;You may find yourselves facing your worst fears in this room.;['you', 'may', 'find', 'yourselves', 'facing', 'your', 'worst', 'fears', 'in', 'this', 'room'];['you', 'may', 'find', 'yourselves', 'facing', 'your', 'worst', 'fear', 'in', 'this', 'room'];['may', 'find', 'facing', 'worst', 'fear', 'room']
Gilderoy Lockhart;Know only that no harm can befall you whilst I am here.;['know', 'only', 'that', 'no', 'harm', 'can', 'befall', 'you', 'whilst', 'i', 'am', 'here'];['know', 'only', 'that', 'no', 'harm', 'can', 'befall', 'you', 'whilst', 'i', 'am', 'here'];['harm', 'befall', 'whilst']
Gilderoy Lockhart;I must ask you not to scream.;['i', 'must', 'ask', 'you', 'not', 'to', 'scream'];['i', 'must', 'ask', 'you', 'not', 'to', 'scream'];['must', 'ask', 'scream']
Gilderoy Lockhart;It might provoke them.;['it', 'might', 'provoke', 'them'];['it', 'might', 'provoke', 'them'];['might', 'provoke']
Seamus;Cornish pixies?;['cornish', 'pixies'];['cornish', 'pixy'];['cornish', 'pixy']
Gilderoy Lockhart;Freshly caught Cornish pixies.;['freshly', 'caught', 'cornish', 'pixies'];['freshly', 'caught', 'cornish', 'pixy'];['freshly', 'caught', 'cornish', 'pixy']
Gilderoy Lockhart;Laugh if you will, Mr. Finnegan but pixies can be devilishly tricky little blighters.;['laugh', 'if', 'you', 'will', 'finnegan', 'but', 'pixies', 'can', 'be', 'devilishly', 'tricky', 'little', 'blighters'];['laugh', 'if', 'you', 'will', 'finnegan', 'but', 'pixy', 'can', 'be', 'devilishly', 'tricky', 'little', 'blighter'];['laugh', 'finnegan', 'pixy', 'devilishly', 'tricky', 'little', 'blighter']
Gilderoy Lockhart;Let's see what you make of them.;['let', 'see', 'what', 'you', 'make', 'of', 'them'];['let', 'see', 'what', 'you', 'make', 'of', 'them'];['let', 'make']
Gilderoy Lockhart;Come on now, round them up, round them up!;['come', 'on', 'now', 'round', 'them', 'up', 'round', 'them', 'up'];['come', 'on', 'now', 'round', 'them', 'up', 'round', 'them', 'up'];['round', 'round']
Gilderoy Lockhart;They're only pixies.;['they', 'only', 'pixies'];['they', 'only', 'pixy'];['pixy']
Cornish Pixies;You just stay there!;['you', 'just', 'stay', 'there'];['you', 'just', 'stay', 'there'];['stay']
Neville;Please, get me down!;['please', 'get', 'me', 'down'];['please', 'get', 'me', 'down'];['please']
Hermione;Get off me!;['get', 'off', 'me'];['get', 'off', 'me'];[]
Harry;Stop. Hold still!;['stop', 'hold', 'still'];['stop', 'hold', 'still'];['stop', 'hold', 'still']
Gilderoy Lockhart;Peskipiksi Pesternomi!;['peskipiksi', 'pesternomi'];['peskipiksi', 'pesternomi'];['peskipiksi', 'pesternomi']
Gilderoy Lockhart;I'll ask you three to just nip the rest of them back into their cage.;['i', 'ask', 'you', 'three', 'to', 'just', 'nip', 'the', 'rest', 'of', 'them', 'back', 'into', 'their', 'cage'];['i', 'ask', 'you', 'three', 'to', 'just', 'nip', 'the', 'rest', 'of', 'them', 'back', 'into', 'their', 'cage'];['ask', 'three', 'nip', 'rest', 'back', 'cage']
Ron;What do we do now?;['what', 'do', 'we', 'do', 'now'];['what', 'do', 'we', 'do', 'now'];[]
Hermione;Immobulus!;['immobulus'];['immobulus'];['immobulus']
Neville;Why is it always me?;['why', 'is', 'it', 'always', 'me'];['why', 'is', 'it', 'always', 'me'];['always']
Wood;I spent the summer devising a whole new Quidditch program.;['i', 'spent', 'the', 'summer', 'devising', 'a', 'whole', 'new', 'quidditch', 'program'];['i', 'spent', 'the', 'summer', 'devising', 'a', 'whole', 'new', 'quidditch', 'program'];['spent', 'summer', 'devising', 'whole', 'new', 'quidditch', 'program']
Wood;We're gonna train earlier, harder and longer.;['we', 'gon', 'na', 'train', 'earlier', 'harder', 'and', 'longer'];['we', 'gon', 'na', 'train', 'earlier', 'harder', 'and', 'longer'];['gon', 'na', 'train', 'earlier', 'harder', 'longer']
Wood;What...? I don't believe it.;['what', 'i', 'do', 'believe', 'it'];['what', 'i', 'do', 'believe', 'it'];['believe']
Wood;Where you think you're going, Flint?;['where', 'you', 'think', 'you', 'going', 'flint'];['where', 'you', 'think', 'you', 'going', 'flint'];['think', 'going', 'flint']
Flint;Quidditch practice.;['quidditch', 'practice'];['quidditch', 'practice'];['quidditch', 'practice']
Wood;I booked the pitch for Gryffindor today.;['i', 'booked', 'the', 'pitch', 'for', 'gryffindor', 'today'];['i', 'booked', 'the', 'pitch', 'for', 'gryffindor', 'today'];['booked', 'pitch', 'gryffindor', 'today']
Flint;Easy, Wood. I've got a note.;['easy', 'wood', 'i', 'got', 'a', 'note'];['easy', 'wood', 'i', 'got', 'a', 'note'];['easy', 'wood', 'note']
Ron;I smell trouble.;['i', 'smell', 'trouble'];['i', 'smell', 'trouble'];['smell', 'trouble']
Wood;I, Professor Severus Snape, do hereby give the Slytherin team permission to practice today, owing to the need to train their new Seeker.;['i', 'professor', 'severus', 'snape', 'do', 'hereby', 'give', 'the', 'slytherin', 'team', 'permission', 'to', 'practice', 'today', 'owing', 'to', 'the', 'need', 'to', 'train', 'their', 'new', 'seeker'];['i', 'professor', 'severus', 'snape', 'do', 'hereby', 'give', 'the', 'slytherin', 'team', 'permission', 'to', 'practice', 'today', 'owing', 'to', 'the', 'need', 'to', 'train', 'their', 'new', 'seeker'];['professor', 'severus', 'snape', 'hereby', 'give', 'slytherin', 'team', 'permission', 'practice', 'today', 'owing', 'need', 'train', 'new', 'seeker']
Wood;You've got a new Seeker. Who?;['you', 'got', 'a', 'new', 'seeker', 'who'];['you', 'got', 'a', 'new', 'seeker', 'who'];['new', 'seeker']
Harry;Malfoy?;['malfoy'];['malfoy'];['malfoy']
Draco;That's right.;['that', 'right'];['that', 'right'];['right']
Draco;And that's not all that's new this year.;['and', 'that', 'not', 'all', 'that', 'new', 'this', 'year'];['and', 'that', 'not', 'all', 'that', 'new', 'this', 'year'];['new', 'year']
Ron;Those are Nimbus 2001 s.;['those', 'are', 'nimbus', 's'];['those', 'are', 'nimbus', 's'];['nimbus']
Ron;How did you get those?;['how', 'did', 'you', 'get', 'those'];['how', 'did', 'you', 'get', 'those'];[]
Flint;A gift from Draco's father.;['a', 'gift', 'from', 'draco', 'father'];['a', 'gift', 'from', 'draco', 'father'];['gift', 'draco', 'father']
Draco;You see, Weasley, unlike some, my father can afford the best.;['you', 'see', 'weasley', 'unlike', 'some', 'my', 'father', 'can', 'afford', 'the', 'best'];['you', 'see', 'weasley', 'unlike', 'some', 'my', 'father', 'can', 'afford', 'the', 'best'];['weasley', 'unlike', 'father', 'afford', 'best']
Hermione;At least no one on the Gryffindor team had to buy their way in.;['at', 'least', 'no', 'one', 'on', 'the', 'gryffindor', 'team', 'had', 'to', 'buy', 'their', 'way', 'in'];['at', 'least', 'no', 'one', 'on', 'the', 'gryffindor', 'team', 'had', 'to', 'buy', 'their', 'way', 'in'];['least', 'one', 'gryffindor', 'team', 'buy', 'way']
Hermione;They got in on pure talent.;['they', 'got', 'in', 'on', 'pure', 'talent'];['they', 'got', 'in', 'on', 'pure', 'talent'];['pure', 'talent']
Draco;No one asked your opinion, you filthy little Mudblood.;['no', 'one', 'asked', 'your', 'opinion', 'you', 'filthy', 'little', 'mudblood'];['no', 'one', 'asked', 'your', 'opinion', 'you', 'filthy', 'little', 'mudblood'];['one', 'asked', 'opinion', 'filthy', 'little', 'mudblood']
Ron;You'll pay for that one, Malfoy.;['you', 'pay', 'for', 'that', 'one', 'malfoy'];['you', 'pay', 'for', 'that', 'one', 'malfoy'];['pay', 'one', 'malfoy']
Ron;Eat slugs!;['eat', 'slugs'];['eat', 'slug'];['eat', 'slug']
Hermione;You okay, Ron?;['you', 'okay', 'ron'];['you', 'okay', 'ron'];['okay', 'ron']
Hermione;Say something.;['say', 'something'];['say', 'something'];['say', 'something']
Colin;Wow! Can you turn him around, Harry?;['wow', 'can', 'you', 'turn', 'him', 'around', 'harry'];['wow', 'can', 'you', 'turn', 'him', 'around', 'harry'];['wow', 'turn', 'around', 'harry']
Harry;No, Colin, get out of the way.;['no', 'colin', 'get', 'out', 'of', 'the', 'way'];['no', 'colin', 'get', 'out', 'of', 'the', 'way'];['colin', 'way']
Harry;Let's take him to Hagrid's.;['let', 'take', 'him', 'to', 'hagrid'];['let', 'take', 'him', 'to', 'hagrid'];['let', 'take', 'hagrid']
Harry;He'll know what to do.;['he', 'know', 'what', 'to', 'do'];['he', 'know', 'what', 'to', 'do'];[]
Hagrid;This calls for a specialist's equipment.;['this', 'calls', 'for', 'a', 'specialist', 'equipment'];['this', 'call', 'for', 'a', 'specialist', 'equipment'];['call', 'specialist', 'equipment']
Hagrid;Nothing to do but wait till it stops, I'm afraid.;['nothing', 'to', 'do', 'but', 'wait', 'till', 'it', 'stops', 'i', 'afraid'];['nothing', 'to', 'do', 'but', 'wait', 'till', 'it', 'stop', 'i', 'afraid'];['nothing', 'wait', 'till', 'stop', 'afraid']
Hagrid;Okay.;['okay'];['okay'];['okay']
Hagrid;Better out than in.;['better', 'out', 'than', 'in'];['better', 'out', 'than', 'in'];['better']
Hagrid;Who was Ron trying to curse, anyway?;['who', 'was', 'ron', 'trying', 'to', 'curse', 'anyway'];['who', 'wa', 'ron', 'trying', 'to', 'curse', 'anyway'];['ron', 'trying', 'curse', 'anyway']
Harry;Malfoy. He called Hermione...;['malfoy', 'he', 'called', 'hermione'];['malfoy', 'he', 'called', 'hermione'];['malfoy', 'called', 'hermione']
Harry;Well, I don't know exactly what it means.;['well', 'i', 'do', 'know', 'exactly', 'what', 'it', 'means'];['well', 'i', 'do', 'know', 'exactly', 'what', 'it', 'mean'];['well', 'exactly', 'mean']
Hermione;He called me a Mudblood.;['he', 'called', 'me', 'a', 'mudblood'];['he', 'called', 'me', 'a', 'mudblood'];['called', 'mudblood']
Hagrid;He did not.;['he', 'did', 'not'];['he', 'did', 'not'];[]
Harry;What's a Mudblood?;['what', 'a', 'mudblood'];['what', 'a', 'mudblood'];['mudblood']
Hermione;"It means ""dirty blood.""";['it', 'means', 'dirty', 'blood'];['it', 'mean', 'dirty', 'blood'];['mean', 'dirty', 'blood']
Hermione;Mudblood's a foul name for someone who's Muggle-born.;['mudblood', 'a', 'foul', 'name', 'for', 'someone', 'who'];['mudblood', 'a', 'foul', 'name', 'for', 'someone', 'who'];['mudblood', 'foul', 'name', 'someone']
Hermione;Someone with non-magic parents.;['someone', 'with', 'parents'];['someone', 'with', 'parent'];['someone', 'parent']
Hermione;Someone like me.;['someone', 'like', 'me'];['someone', 'like', 'me'];['someone', 'like']
Hermione;It's not a term one usually hears in civilized conversation.;['it', 'not', 'a', 'term', 'one', 'usually', 'hears', 'in', 'civilized', 'conversation'];['it', 'not', 'a', 'term', 'one', 'usually', 'hears', 'in', 'civilized', 'conversation'];['term', 'one', 'usually', 'hears', 'civilized', 'conversation']
Hagrid;See, the thing is, Harry, there are some wizards, like the Malfoy family...who think they're better than everyone else because they're pure-blood.;['see', 'the', 'thing', 'is', 'harry', 'there', 'are', 'some', 'wizards', 'like', 'the', 'malfoy', 'family', 'who', 'think', 'they', 'better', 'than', 'everyone', 'else', 'because', 'they'];['see', 'the', 'thing', 'is', 'harry', 'there', 'are', 'some', 'wizard', 'like', 'the', 'malfoy', 'family', 'who', 'think', 'they', 'better', 'than', 'everyone', 'else', 'because', 'they'];['thing', 'harry', 'wizard', 'like', 'malfoy', 'family', 'think', 'better', 'everyone', 'else']
Harry;That's horrible.;['that', 'horrible'];['that', 'horrible'];['horrible']
Ron;It's disgusting.;['it', 'disgusting'];['it', 'disgusting'];['disgusting']
Hagrid;And it's codswallop to boot.;['and', 'it', 'codswallop', 'to', 'boot'];['and', 'it', 'codswallop', 'to', 'boot'];['codswallop', 'boot']
Hagrid;Dirty blood.;['dirty', 'blood'];['dirty', 'blood'];['dirty', 'blood']
Hagrid;Why, there isn't a wizard alive today that's not half-blood or less.;['why', 'there', 'is', 'a', 'wizard', 'alive', 'today', 'that', 'not', 'or', 'less'];['why', 'there', 'is', 'a', 'wizard', 'alive', 'today', 'that', 'not', 'or', 'le'];['wizard', 'alive', 'today', 'le']
Hagrid;More to the point, they've yet to think of a spell that our Hermione can't do.;['more', 'to', 'the', 'point', 'they', 'yet', 'to', 'think', 'of', 'a', 'spell', 'that', 'our', 'hermione', 'ca', 'do'];['more', 'to', 'the', 'point', 'they', 'yet', 'to', 'think', 'of', 'a', 'spell', 'that', 'our', 'hermione', 'ca', 'do'];['point', 'yet', 'think', 'spell', 'hermione', 'ca']
Hagrid;Come here.;['come', 'here'];['come', 'here'];[]
Hagrid;Don't you think on it, Hermione.;['do', 'you', 'think', 'on', 'it', 'hermione'];['do', 'you', 'think', 'on', 'it', 'hermione'];['think', 'hermione']
Hagrid;Don't you think on it for one minute.;['do', 'you', 'think', 'on', 'it', 'for', 'one', 'minute'];['do', 'you', 'think', 'on', 'it', 'for', 'one', 'minute'];['think', 'one', 'minute']
Gilderoy Lockhart;Harry, Harry, Harry.;['harry', 'harry', 'harry'];['harry', 'harry', 'harry'];['harry', 'harry', 'harry']
Gilderoy Lockhart;Can you possibly imagine a better way to serve detention than by helping me to answer my fan mail?;['can', 'you', 'possibly', 'imagine', 'a', 'better', 'way', 'to', 'serve', 'detention', 'than', 'by', 'helping', 'me', 'to', 'answer', 'my', 'fan', 'mail'];['can', 'you', 'possibly', 'imagine', 'a', 'better', 'way', 'to', 'serve', 'detention', 'than', 'by', 'helping', 'me', 'to', 'answer', 'my', 'fan', 'mail'];['possibly', 'imagine', 'better', 'way', 'serve', 'detention', 'helping', 'answer', 'fan', 'mail']
Harry;Not really.;['not', 'really'];['not', 'really'];['really']
Gilderoy Lockhart;Fame is a fickle friend, Harry.;['fame', 'is', 'a', 'fickle', 'friend', 'harry'];['fame', 'is', 'a', 'fickle', 'friend', 'harry'];['fame', 'fickle', 'friend', 'harry']
Gilderoy Lockhart;Celebrity is as celebrity does.;['celebrity', 'is', 'as', 'celebrity', 'does'];['celebrity', 'is', 'a', 'celebrity', 'doe'];['celebrity', 'celebrity', 'doe']
Gilderoy Lockhart;Remember that.;['remember', 'that'];['remember', 'that'];['remember']
Voice;Come.;['come'];['come'];[]
Voice;Come to me.;['come', 'to', 'me'];['come', 'to', 'me'];[]
Harry;What?;['what'];['what'];[]
Gilderoy Lockhart;Sorry?;['sorry'];['sorry'];['sorry']
Harry;That voice.;['that', 'voice'];['that', 'voice'];['voice']
Gilderoy Lockhart;Voice?;['voice'];['voice'];['voice']
Harry;Didn't you hear it?;['did', 'you', 'hear', 'it'];['did', 'you', 'hear', 'it'];['hear']
Gilderoy Lockhart;What are you talking about, Harry?;['what', 'are', 'you', 'talking', 'about', 'harry'];['what', 'are', 'you', 'talking', 'about', 'harry'];['talking', 'harry']
Gilderoy Lockhart;I think you're getting a bit drowsy.;['i', 'think', 'you', 'getting', 'a', 'bit', 'drowsy'];['i', 'think', 'you', 'getting', 'a', 'bit', 'drowsy'];['think', 'getting', 'bit', 'drowsy']
Gilderoy Lockhart;And great Scott, no wonder. ;['and', 'great', 'scott', 'no', 'wonder'];['and', 'great', 'scott', 'no', 'wonder'];['great', 'scott', 'wonder']
Gilderoy Lockhart;Look at the time.;['look', 'at', 'the', 'time'];['look', 'at', 'the', 'time'];['look', 'time']
Gilderoy Lockhart;We've been here nearly four hours.;['we', 'been', 'here', 'nearly', 'four', 'hours'];['we', 'been', 'here', 'nearly', 'four', 'hour'];['nearly', 'four', 'hour']
Gilderoy Lockhart;Spooky how the time flies when one is having fun.;['spooky', 'how', 'the', 'time', 'flies', 'when', 'one', 'is', 'having', 'fun'];['spooky', 'how', 'the', 'time', 'fly', 'when', 'one', 'is', 'having', 'fun'];['spooky', 'time', 'fly', 'one', 'fun']
Harry;Spooky.;['spooky'];['spooky'];['spooky']
Voice;Blood.;['blood'];['blood'];['blood']
Voice;I smell blood.;['i', 'smell', 'blood'];['i', 'smell', 'blood'];['smell', 'blood']
Voice;Let me rip you.;['let', 'me', 'rip', 'you'];['let', 'me', 'rip', 'you'];['let', 'rip']
Voice;Let me kill you.;['let', 'me', 'kill', 'you'];['let', 'me', 'kill', 'you'];['let', 'kill']
Voice;Kill!;['kill'];['kill'];['kill']
Voice;Kill!;['kill'];['kill'];['kill']
Voice;Kill!;['kill'];['kill'];['kill']
Hermione;Harry!;['harry'];['harry'];['harry']
Harry;Did you hear it?;['did', 'you', 'hear', 'it'];['did', 'you', 'hear', 'it'];['hear']
Ron;Hear what?;['hear', 'what'];['hear', 'what'];['hear']
Harry;That voice.;['that', 'voice'];['that', 'voice'];['voice']
Hermione;Voice? What voice?;['voice', 'what', 'voice'];['voice', 'what', 'voice'];['voice', 'voice']
Harry;I heard it first in Lockhart's office.;['i', 'heard', 'it', 'first', 'in', 'lockhart', 'office'];['i', 'heard', 'it', 'first', 'in', 'lockhart', 'office'];['heard', 'first', 'lockhart', 'office']
Harry;And then again just...;['and', 'then', 'again', 'just'];['and', 'then', 'again', 'just'];[]
Voice;It's time.;['it', 'time'];['it', 'time'];['time']
Harry;It's moving.;['it', 'moving'];['it', 'moving'];['moving']
Harry;I think it's going to kill.;['i', 'think', 'it', 'going', 'to', 'kill'];['i', 'think', 'it', 'going', 'to', 'kill'];['think', 'going', 'kill']
Ron;Kill?;['kill'];['kill'];['kill']
Hermione;Harry, wait! Not so fast!;['harry', 'wait', 'not', 'so', 'fast'];['harry', 'wait', 'not', 'so', 'fast'];['harry', 'wait', 'fast']
Harry;Strange.;['strange'];['strange'];['strange']
Harry;I've never seen spiders act like that.;['i', 'never', 'seen', 'spiders', 'act', 'like', 'that'];['i', 'never', 'seen', 'spider', 'act', 'like', 'that'];['never', 'seen', 'spider', 'act', 'like']
Ron;I don't like spiders.;['i', 'do', 'like', 'spiders'];['i', 'do', 'like', 'spider'];['like', 'spider']
Ron;What's that?;['what', 'that'];['what', 'that'];[]
Hermione;The Chamber of Secrets has been opened. Enemies of the Heir, beware.;['the', 'chamber', 'of', 'secrets', 'has', 'been', 'opened', 'enemies', 'of', 'the', 'heir', 'beware'];['the', 'chamber', 'of', 'secret', 'ha', 'been', 'opened', 'enemy', 'of', 'the', 'heir', 'beware'];['chamber', 'secret', 'opened', 'enemy', 'heir', 'beware']
Hermione;Enemies of the Heir, beware.;['enemies', 'of', 'the', 'heir', 'beware'];['enemy', 'of', 'the', 'heir', 'beware'];['enemy', 'heir', 'beware']
Hermione;It's written in blood.;['it', 'written', 'in', 'blood'];['it', 'written', 'in', 'blood'];['written', 'blood']
Harry;Oh, no.;['oh', 'no'];['oh', 'no'];['oh']
Harry;It's Filch's cat.;['it', 'filch', 'cat'];['it', 'filch', 'cat'];['filch', 'cat']
Harry;It's Mrs. Norris.;['it', 'norris'];['it', 'norris'];['norris']
Draco;Enemies of the Heir, beware.;['enemies', 'of', 'the', 'heir', 'beware'];['enemy', 'of', 'the', 'heir', 'beware'];['enemy', 'heir', 'beware']
Draco;You'll be next, Mudbloods.;['you', 'be', 'next', 'mudbloods'];['you', 'be', 'next', 'mudbloods'];['next', 'mudbloods']
Filch;What's going on here?;['what', 'going', 'on', 'here'];['what', 'going', 'on', 'here'];['going']
Filch;Go on. Make way, make way.;['go', 'on', 'make', 'way', 'make', 'way'];['go', 'on', 'make', 'way', 'make', 'way'];['make', 'way', 'make', 'way']
Filch;Potter?;['potter'];['potter'];['potter']
Filch;What are you...?;['what', 'are', 'you'];['what', 'are', 'you'];[]
Filch;Mrs. Norris?;['norris'];['norris'];['norris']
Filch;You've murdered my cat.;['you', 'murdered', 'my', 'cat'];['you', 'murdered', 'my', 'cat'];['murdered', 'cat']
Harry;No. No.;['no', 'no'];['no', 'no'];[]
Filch;I'll kill you.;['i', 'kill', 'you'];['i', 'kill', 'you'];['kill']
Filch;I'll kill you!;['i', 'kill', 'you'];['i', 'kill', 'you'];['kill']
Dumbledore;Argus!;['argus'];['argus'];['argus']
Dumbledore;Argus, I...;['argus', 'i'];['argus', 'i'];['argus']
Dumbledore;Everyone will proceed to their dormitories immediately.;['everyone', 'will', 'proceed', 'to', 'their', 'dormitories', 'immediately'];['everyone', 'will', 'proceed', 'to', 'their', 'dormitory', 'immediately'];['everyone', 'proceed', 'dormitory', 'immediately']
Dumbledore;Everyone except you three.;['everyone', 'except', 'you', 'three'];['everyone', 'except', 'you', 'three'];['everyone', 'except', 'three']
Boy;Ravenclaws, follow me.;['ravenclaws', 'follow', 'me'];['ravenclaws', 'follow', 'me'];['ravenclaws', 'follow']
Dumbledore;She's not dead, Argus.;['she', 'not', 'dead', 'argus'];['she', 'not', 'dead', 'argus'];['dead', 'argus']
Dumbledore;She has been Petrified.;['she', 'has', 'been', 'petrified'];['she', 'ha', 'been', 'petrified'];['petrified']
Gilderoy Lockhart;Aghh! Thought so.;['aghh', 'thought', 'so'];['aghh', 'thought', 'so'];['aghh', 'thought']
Gilderoy Lockhart;So unlucky I wasn't there.;['so', 'unlucky', 'i', 'was', 'there'];['so', 'unlucky', 'i', 'wa', 'there'];['unlucky']
Gilderoy Lockhart;I know exactly the countercurse that could've spared her.;['i', 'know', 'exactly', 'the', 'countercurse', 'that', 'could', 'spared', 'her'];['i', 'know', 'exactly', 'the', 'countercurse', 'that', 'could', 'spared', 'her'];['exactly', 'countercurse', 'could', 'spared']
Dumbledore;But how she has been Petrified, I cannot say.;['but', 'how', 'she', 'has', 'been', 'petrified', 'i', 'can', 'not', 'say'];['but', 'how', 'she', 'ha', 'been', 'petrified', 'i', 'can', 'not', 'say'];['petrified', 'say']
Filch;Ask him.;['ask', 'him'];['ask', 'him'];['ask']
Filch;It's him that's done it.;['it', 'him', 'that', 'done', 'it'];['it', 'him', 'that', 'done', 'it'];['done']
Filch;You saw what he wrote on the wall.;['you', 'saw', 'what', 'he', 'wrote', 'on', 'the', 'wall'];['you', 'saw', 'what', 'he', 'wrote', 'on', 'the', 'wall'];['saw', 'wrote', 'wall']
Harry;It's not true, sir. I swear.;['it', 'not', 'true', 'sir', 'i', 'swear'];['it', 'not', 'true', 'sir', 'i', 'swear'];['true', 'sir', 'swear']
Harry;I never touched Mrs. Norris.;['i', 'never', 'touched', 'norris'];['i', 'never', 'touched', 'norris'];['never', 'touched', 'norris']
Filch;Rubbish.;['rubbish'];['rubbish'];['rubbish']
Snape;If I might, headmaster?;['if', 'i', 'might', 'headmaster'];['if', 'i', 'might', 'headmaster'];['might', 'headmaster']
Snape;Perhaps Potter and his friends were just in the wrong place at the wrong time.;['perhaps', 'potter', 'and', 'his', 'friends', 'were', 'just', 'in', 'the', 'wrong', 'place', 'at', 'the', 'wrong', 'time'];['perhaps', 'potter', 'and', 'his', 'friend', 'were', 'just', 'in', 'the', 'wrong', 'place', 'at', 'the', 'wrong', 'time'];['perhaps', 'potter', 'friend', 'wrong', 'place', 'wrong', 'time']
Snape;However the circumstances are suspicious.;['however', 'the', 'circumstances', 'are', 'suspicious'];['however', 'the', 'circumstance', 'are', 'suspicious'];['however', 'circumstance', 'suspicious']
Snape;I, for one, don't recall seeing Potter at dinner.;['i', 'for', 'one', 'do', 'recall', 'seeing', 'potter', 'at', 'dinner'];['i', 'for', 'one', 'do', 'recall', 'seeing', 'potter', 'at', 'dinner'];['one', 'recall', 'seeing', 'potter', 'dinner']
Gilderoy Lockhart;I'm afraid that's my doing, Severus.;['i', 'afraid', 'that', 'my', 'doing', 'severus'];['i', 'afraid', 'that', 'my', 'doing', 'severus'];['afraid', 'severus']
