Character;speech
hermione;harry, hagrid, good, glass, oculus, reparo, okay, bye, everyone, worried, fear, name, increase, fear, thing, mandrake, mandragora, used, return, petrified, original, state, also, quite, dangerous, mandrake, cry, fatal, anyone, hears, immobulus, least, one, gryffindor, team, buy, way, pure, talent, okay, ron, say, something, called, mudblood, mean, dirty, blood, mudblood, foul, name, someone, someone, parent, someone, like, term, one, usually, hears, civilized, conversation, harry, voice, voice, harry, wait, fast, chamber, secret, opened, enemy, heir, beware, enemy, heir, beware, written, blood, ron, went, looking, professor, found, said, bit, strange, hear, voice, voice, hear, norris, turn, petrified, strange, harry, even, wizarding, world, hearing, voice, good, sign, professor, wondering, could, tell, u, chamber, secret, professor, exactly, doe, legend, tell, u, lie, within, chamber, could, tell, mcgonagall, worried, teacher, heir, slytherin, returned, hogwarts, question, talking, malfoy, heard, malfoy, heir, slytherin, even, thick, might, another, way, mind, would, difficult, mention, breaking, school, rule, dangerous, dangerous, polyjuice, potion, properly, brewed, polyjuice, potion, allows, drinker, transform, temporarily, physical, form, another, exactly, tricky, never, seen, complicated, potion, month, plan, even, proper, wand, risky, could, hit, harry, let, finite, incantatem, okay, able, wo, mean, chamber, secret, opened, maybe, wait, polyjuice, potion, sure, one, ever, moaning, myrtle, moaning, myrtle, little, sensitive, think, right, talk, snake, ca, common, gift, harry, bad, sounded, like, egging, snake, something, harry, listen, reason, symbol, slytherin, house, serpent, salazar, slytherin, parselmouth, could, talk, snake, lived, thousand, year, ago, could, everything, set, need, bit, changing, also, need, make, sure, real, crabbe, goyle, ca, burst, u, interrogating, malfoy, worked, filled, simple, sleeping, draught, simple, powerful, asleep, hide, broomstick, cupboard, pull, hair, put, uniform, already, mine, millicent, bulstrode, slytherin, robe, going, check, polyjuice, potion, make, sure, crabbe, goyle, find, exactly, one, hour, change, back, add, hair, cheer, think, going, without, wasting, time, away, remember, telling, polyjuice, potion, human, transformation, cat, hair, plucked, millicent, bulstrode, robe, look, face, ca, hagrid, ca, look, hagrid, friend, ask, gryffindor, nobody, else, password, unless, student, thanks, sir, nicholas, good, back, congratulation, ca, believe, solved, thanks, oh, anyone, seen, toad, boy, named, neville, lost, one, oh, magic, let, sure, real, spell, well, good, course, tried, simple, one, worked, example, oculus, reparo, better, holy, cricket, harry, potter, hermione, granger, pleasure, two, better, change, robe, expect, arriving, soon, dirt, nose, way, real, ceiling, bewitched, look, like, night, sky, read, hogwarts, history, oh, okay, relax, nearly, headless, nearly, headless, read, smoke, turn, red, mean, forgotten, something, harry, way, heard, madam, hooch, said, besides, even, fly, idiot, wo, make, fool, blood, staircase, change, remember, supposed, floor, forbidden, oh, move, alohomora, standard, book, spell, chapter, filch, gone, locked, use, eye, standing, standing, trap, door, mean, accident, guarding, something, right, two, mind, going, bed, either, another, clever, idea, u, killed, worse, expelled, stop, stop, stop, going, take, someone, eye, besides, youre, saying, wrong, leviosa, leviosar, wingardium, leviosa, help, help, ahhh, help, swish, flick, dead, fault, professor, mcgonagall, went, looking, troll, read, thought, could, handle, wrong, harry, ron, found, probably, dead, ron, right, harry, gon, na, need, strength, today, blood, would, anyone, near, dog, saying, bit, early, mail, snape, jinxing, broom, leave, lacarnum, inflamarae, thing, name, hogwarts, teacher, curse, one, read, keep, eye, contact, snape, blinking, totally, barbaric, good, help, harry, going, library, information, nicholas, flamel, restricted, section, happy, christmas, look, playing, card, pathetic, final, exam, coming, soon, alright, crucial, ingredient, forgetfulness, potion, follow, looking, wrong, section, could, stupid, checked, week, ago, bit, light, reading, course, nicholas, flamel, known, maker, philosopher, stone, honestly, two, read, philosopher, stone, legendary, substance, astonishing, power, turn, metal, pure, gold, produce, elixir, life, make, drinker, immortal, mean, never, die, stone, currently, existence, belongs, nicholas, flamel, noted, alchemist, last, year, celebrated, birthday, fluffy, guarding, floor, trapdoor, philosopher, stone, course, thing, defending, stone, spell, enchantment, dragon, bad, well, good, kind, harry, mean, right, forest, hang, minute, forgetting, one, thing, one, wizard, voldemort, always, feared, dumbledore, long, dumbledore, around, safe, long, dumbledore, around, ca, touched, always, heard, hogwarts, end, year, exam, frightful, found, rather, enjoyable, happened, dumbledore, gone, uh, neville, really, really, sorry, petrificus, totalus, sorry, ow, stood, foot, alohomora, harp, stopped, playing, stop, moving, devil, snare, relax, kill, faster, relax, say, trust, okay, relaxing, something, uh, remember, reading, something, herbology, um, devil, snare, devil, scare, deadly, fun, sulk, sun, devil, snare, hate, sunlight, lumus, solem, curious, never, seen, bird, like, ugh, going, must, key, wrong, harry, like, like, happens, ron, suppose, going, like, real, wizard, chess, ron, ca, must, another, way, okay, harry, great, wizard, really, book, cleverness, important, thing, friendship, bravery, harry, careful, never, better, tied, slytherin, harry, feel, strange, going, home, doe
malfoy;true, saying, train, harry, potter, hogwarts, crabbe, goyle, malfoy, draco, malfoy, think, name, funny, need, ask, red, hair, robe, must, weasley, soon, find, wizarding, family, better, others, potter, want, making, friend, wrong, sort, help, face, maybe, fat, lump, given, squeeze, remembered, fall, fat, arse, think, leave, somewhere, longbottom, find, roof, matter, potter, bit, beyond, reach, way, excuse, professor, perhaps, heard, wrong, thought, said, four, u, forest, thought, joke, ca, student, allowed, werewolf, okay, fang, wait, till, father, hears, servant, stuff, scared, potter, hear, fang, scared, ahhhhhhhhh, ahhh, help, nice, one, mate
ron;hi, harry, rescuing, course, trunk, better, stand, back, let, harry, hurry, harry, drive, way, harry, happy, birthday, think, right, much, home, starving, mum, bar, window, ginny, talking, summer, bit, annoying, really, dad, work, ministry, magic, misuse, muggle, artifact, office, dad, love, muggles, think, fascinating, always, harry, never, traveled, floo, powder, mum, diagon, alley, mum, fancy, gateway, sealed, reason, harry, ca, maybe, mum, dad, ca, back, car, aaa, right, oh, invisibility, booster, must, faulty, okay, ca, far, behind, must, getting, close, haaaarryyy, hold, oonnn, take, hand, hold, yeah, welcome, home, working, stop, stop, stop, wand, look, wand, happening, scabbers, okay, caaaar, dad, gon, na, kill, honestly, professor, snape, think, damage, u, stuff, going, expel, u, say, doomed, bloody, bird, menace, smell, trouble, nimbus, pay, one, malfoy, eat, slug, disgusting, hear, kill, like, spider, mad, vera, verto, three, guess, think, true, think, really, chamber, secret, let, think, think, scum, course, heard, next, mudbloods, crabbe, goyle, must, maybe, could, trick, telling, mean, harry, drink, stuff, turn, crabbe, goyle, wicked, malfoy, tell, u, anything, stop, course, lucius, malfoy, must, opened, school, taught, draco, enlighten, brewing, potion, broad, daylight, middle, girl, lavatory, think, caught, moaning, myrtle, care, parselmouth, tell, u, said, heard, speaking, parseltongue, snake, language, exactly, whole, school, gon, na, think, grandson, whose, hair, ripping, yeah, right, thick, could, essence, crabbe, think, gon, na, sick, harry, bloody, hell, bloody, hell, hermione, mean, stomachache, scar, close, look, tail, spoken, hermione, yuck, ca, hurt, someone, throw, something, mean, right, even, tom, riddle, sound, like, dirty, rotten, snitch, would, cheerful, visit, hello, hagrid, tell, u, setting, anything, mad, hairy, loose, castle, lately, whoever, must, looking, something, hermione, heard, mcgonagall, allowed, leave, tower, except, class, dad, bos, cornelius, fudge, minister, magic, hagrid, right, dumbledore, gone, attack, day, heading, dark, forest, spider, could, follow, butterfly, harry, like, harry, like, back, harry, harry, panic, spell, hermione, need, glad, thanks, flying, gear, jammed, trying, follow, spider, follow, spider, hagrid, ever, azkaban, kill, mean, point, sending, u, found, kill, looking, people, eye, one, dead, norris, pretty, sure, havea, camera, mirror, harry, basilisk, getting, around, dirty, great, snake, someone, would, seen, pipe, using, plumbing, moaning, myrtle, skeleton, lie, chamber, forever, ginny, sister, defense, dark, art, teacher, ca, anything, say, something, harry, say, something, parseltongue, better, u, bloody, hell, whatever, shed, must, foot, long, heart, lion, one, harry, harry, fine, ron, weasley, lockhart, memory, charm, backfired, clue, okay, thanks, sir, welcome, back, hermione, excuse, mind, everywhere, else, full, ron, way, ron, weasley, true, mean, really, scar, wicked, thanks, set, mean, every, flavor, chocolate, peppermint, also, spinach, liver, tripe, george, sweared, one, spell, besides, card, want, pack, famous, witch, wizard, watch, oh, rotten, luck, one, good, jump, begin, six, well, ca, expect, hang, around, day, scabbers, way, pathetic, fred, gave, spell, turn, yellow, want, sunshine, daisy, butter, mellow, turn, stupid, fat, rat, yellow, ron, weasley, wicked, mental, one, telling, witch, wizard, went, bad, slytherin, harry, nearly, headless, nick, look, one, made, imagine, look, old, mcgonagall, face, late, bloody, brilliant, turn, rum, actually, managed, weak, tea, yesterday, mail, shut, harry, seeker, first, year, never, make, house, team, must, youngest, quidditch, player, fred, george, team, beater, oh, harry, quidditch, great, best, game, great, whoa, harry, never, told, father, seeker, telling, spooky, ahh, staircase, move, doe, anybody, feel, like, filch, cat, done, alohomora, probably, think, door, locked, think, keeping, thing, like, locked, school, looking, foot, bit, preoccupied, head, maybe, notice, three, need, sort, priority, wingardrium, leviosar, clever, leviosa, leviosar, honestly, nightmare, wonder, friend, troll, really, stupid, probably, people, playing, joke, think, troll, left, dungeon, hey, pea, brain, wingardium, leviosa, cool, mind, save, life, friend, take, bit, toast, mate, let, open, thats, broomstick, harry, nimbus, jinxing, broom, hermione, fluffy, queen, wizard, chess, packed, change, plan, parent, decided, romania, visit, brother, charlie, studying, dragon, looked, hundred, time, think, bad, influence, harry, wake, harry, wake, happy, christmas, harry, oh, mum, made, look, like, one, yeah, well, let, put, whoa, invisibility, cloak, really, rare, wonder, gave, u, head, boy, holding, quidditch, cup, bloody, hell, quidditch, captain, look, good, harry, think, mirror, show, future, right, back, wan, na, play, chess, wan, na, visit, hagrid, harry, thinking, something, right, mirror, ready, ask, question, forgot, copy, insulting, trust, u, dumbledore, curse, start, standing, people, neville, dumbledore, particularly, famous, defeat, dark, wizard, grindelwald, discovery, twelve, us, dragon, blood, work, alchemy, partner, nicholas, flamel, light, immortal, mean, hagrid, one, dragon, norwegian, ridgeback, brother, charlie, work, romania, crazy, worse, malfoy, bad, okay, back, think, try, kill, think, worrying, potion, final, speak, right, harry, perhaps, nurse, trevor, shh, little, scary, sometimes, brilliant, scary, good, sorry, wait, minute, uh, horrible, breath, ew, yuck, ugh, ahh, whoa, lucky, really, kill, u, faster, oh, relax, gon, na, ahh, harry, harry, help, help, help, help, ahhh, yeah, whew, lucky, panic, alohomora, well, worth, try, looking, big, old, fashioned, one, probably, rusty, like, handle, oh, harry, snape, catch, old, broomstick, youngest, seeker, century, complicates, thing, bit, hurry, graveyard, chessboard, obvious, play, way, across, room, right, harry, take, empty, bishop, square, hermione, queen, side, castle, knight, well, white, move, first, play, hermione, think, going, exactly, like, wizard, chess, castle, pawn, understand, right, harry, make, move, queen, take, free, check, king, want, stop, snape, getting, stone, harry, hermione, knight, check, ahhhh, right
man;lady, gentleman, gilderoy, lockhart, welcome, back, potter, welcome, back, sorry, fire, fire, ahhhhhhhhhhhhhhhh
griphook;vault, lamp, please, key, please, vault, stand, back
dumbledore;well, aware, bylaw, written, quite, however, head, gryffindor, house, professor, mcgonagall, determine, appropriate, action, argus, argus, everyone, proceed, dormitory, immediately, everyone, except, three, dead, argus, petrified, petrified, say, innocent, proven, guilty, severus, able, cure, argus, understand, madam, sprout, healthy, growth, mandrake, matured, potion, made, revive, norris, meantime, strongly, recommend, caution, another, attack, mean, student, great, danger, truth, tell, hogwarts, longer, safe, feared, minerva, chamber, secret, indeed, opened, harry, time, looking, dreadful, day, pity, burning, day, fawkes, phoenix, harry, burst, flame, time, die, reborn, ash, fascinating, creature, phoenix, carry, immensely, heavy, load, tear, healing, power, hagriiid, relax, believe, harry, attacked, anyone, harry, think, must, ask, something, wish, tell, well, riddle, wise, wandering, around, late, hour, tom, afraid, tom, true, understand, tom, afraid, headmaster, dippet, may, choice, something, wish, tell, well, good, evening, hagrid, wonder, could, want, understood, cornelius, hagrid, full, confidence, well, exactly, want, calm, hagrid, governor, desire, removal, course, step, aside, however, find, help, always, given, hogwarts, ask, realize, course, past, hour, broken, perhaps, dozen, school, rule, sufficient, evidence, expelled, therefore, fitting, receive, special, award, service, school, weasley, would, owl, deliver, release, paper, azkaban, believe, want, gamekeeper, back, harry, first, want, thank, harry, must, shown, real, loyalty, chamber, nothing, could, called, fawkes, second, sense, something, troubling, right, harry, well, speak, parseltongue, harry, lord, voldemort, speak, parseltongue, mistaken, harry, transferred, power, night, gave, scar, intentionally, true, posse, many, quality, voldemort, prize, determination, resourcefulness, may, say, certain, disregard, rule, sorting, hat, place, gryffindor, exactly, harry, exactly, make, different, voldemort, ability, show, truly, choice, want, proof, belong, gryffindor, suggest, look, closely, careful, would, take, true, gryffindor, pull, hat, governor, learned, arthur, weasley, daughter, taken, chamber, saw, fit, summon, back, curiously, lucius, several, impression, would, curse, family, agree, suspend, first, place, beg, pardon, voldemort, time, chose, act, somebody, else, mean, fortunately, young, potter, discovered, one, hope, lord, voldemort, old, find, way, innocent, hand, consequence, one, responsible, would, severe, begin, feast, let, u, round, applause, professor, sprout, madam, pomfrey, whose, mandrake, juice, successfully, administered, petrified, also, light, recent, event, school, treat, exam, canceled, known, would, professor, mcgonagall, afraid, professor, good, bad, hagrid, bringing, ah, professor, would, trust, hagrid, life, problem, trust, hagrid, albus, really, think, safe, leaving, people, family, exactly, far, better, growing, away, ready, hagrid, really, goodbye, good, luck, harry, potter, notice, wish, announce, first, year, please, note, dark, forest, strictly, forbidden, student, also, caretaker, filch, asked, remind, corridor, right, hand, side, bound, everyone, doe, wish, die, painful, death, thank, let, feast, begin, sillllleeennnnceeeee, everyone, please, panic, prefect, lead, house, back, dormitory, teacher, follow, dungeon, back, harry, like, many, discovered, delight, mirror, erised, trust, realize, doe, let, give, clue, happiest, man, earth, would, look, mirror, exactly, show, u, nothing, le, deepest, desperate, desire, heart, never, known, family, standing, beside, remember, harry, mirror, give, u, neither, knowledge, truth, men, wasted, away, front, even, gone, mad, tomorrow, moved, new, home, must, ask, looking, doe, dwell, dream, harry, forget, live, good, afternoon, harry, ah, token, admirer, happened, dungeon, professor, quirrell, complete, secret, naturally, whole, school, ah, friend, ronald, saved, trouble, opening, chocolate, frog, fine, fine, relax, dear, boy, stone, destroyed, friend, nicholas, little, chat, agreed, best, around, enough, elixir, set, affair, order, die, ah, person, wanted, find, stone, find, use, would, able, one, brilliant, idea, thats, saying, something, ah, afraid, way, return, harry, professor, quirrell, could, bear, touch, mother, sacrificed, kind, act, leaf, mark, kind, mark, seen, life, skin, love, harry, love, ah, bertie, bott, every, flavour, bean, unfortunate, youth, across, vomit, flavoured, one, since, lost, liking, think, could, safe, nice, toffee, mm, ala, earwax, another, year, gone, understand, house, cup, need, awarding, point, stand, thus, fourth, place, gryffindor, point, third, place, hufflepuff, point, second, place, ravenclaw, point, first, place, point, slytherin, house, well, done, slytherin, well, done, slytherin, however, recent, event, must, taken, account, last, minute, point, award, miss, hermione, granger, use, cool, intellect, others, great, peril, point, second, ronald, weasley, best, played, game, chess, hogwarts, seen, many, year, point, third, harry, potter, pure, nerve, outstanding, courage, award, gryffindor, house, point, finally, take, great, deal, bravery, stand, enemy, great, deal, stand, friend, award, point, neville, longbottom, assuming, calculation, correct, believe, change, direction, order, gryffindor, win, house, cup
sir nicholas;hello, percy, miss, clearwater, thank, good, evening, thank, hello, hermione, welcome, back, hello, welcome, gryffindor, dismal, request, join, headless, hunt, denied, prefer, sir, nicholas, mind, like, heard, harry, potter, new, gryffindor, seeker, always, knew, hed, well
fudge;bad, business, hagrid, bad, business, three, attack, thing, gone, far, enough, ministry, act, albus, look, hagrid, record, take, afraid, choice, hagrid, hagrid, good, boy
penelope clearwater;nearly, headless, nick
harry;sorcerer, stone
hermione;sorcerer, stone
ron;sorcerer, stone
draco;fault, teacher, favorite, hermione, granger, bet, loved, potter, famous, harry, potter, ca, bookshop, without, making, front, page, look, potter, girlfriend, school, right, new, year, weasley, unlike, father, afford, best, one, asked, opinion, filthy, little, mudblood, enemy, heir, beware, next, mudbloods, right, scarhead, training, ballet, potter, never, catch, potter, scared, potter, everte, statum, serpensortia, crabbe, goyle, pigging, great, hall, time, wearing, glass, reading, could, read, weasley, well, sit, never, weasleys, way, behave, embarrassment, wizarding, world, wrong, crabbe, surprised, daily, prophet, done, report, attack, suppose, dumbledore, trying, hush, father, always, said, dumbledore, worst, thing, ever, happened, place, think, someone, worse, dumbledore, well, good, one, goyle, absolutely, right, saint, potter, people, actually, think, heir, slytherin, goyle, told, yesterday, many, time, tell, father, say, year, since, chamber, opened, would, tell, opened, expelled, last, time, chamber, secret, opened, mudblood, died, matter, time, one, killed, time, hope, granger, matter, two, acting, odd, hey, going, wingardium
george;right, yeah, mum, would, never, fred, job, make, sure, bloodied, bad, ca, make, promise, course, rough, game, quidditch, turn, month, two, like, ron, ron
ron;well, hermione
harry;well, hermione
diary;hello, harry, potter, name, tom, riddle, show, let, take, back, fifty, year, ago, june
gryffindors;yay
slytherins;yeah, yeah
firenze;harry, potter, must, leave, known, many, creature, forest, safe, time, especially, monstrous, creature, terrible, crime, slay, unicorn, drinking, blood, unicorn, keep, alive, even, inch, death, terrible, price, slain, something, pure, moment, blood, touch, lip, cursed, life, think, one, hidden, school, moment, harry, potter, leave, safe, good, luck
harry;aaaaaaahhhh, aaahhh, aaah, sir, sir
ron;aaaaaaahhhh, aaahhh, aaah, sir, sir
ollivander;wondered, seeing, potter, seems, yesterday, mother, father, buying, first, wand, give, wave, apparently, definitely, matter, wonder, curious, curious, remember, every, wand, ever, sold, potter, happens, phoenix, whose, tail, feather, resides, wand, gave, another, feather, one, curious, destined, wand, brother, gave, scar, speak, name, wand, chooses, wizard, potter, always, clear, think, clear, expect, great, thing, great, thing, terrible, great
picture;right
justin finch-fletchley;playing
filch;well, take, good, look, lad, night, might, well, last, spend, castle, oh, dear, trouble, going, make, way, make, way, potter, norris, murdered, cat, kill, kill, ask, done, saw, wrote, wall, rubbish, cat, petrified, want, punishment, caught, act, time, potter, mark, word, anyone, sweet, ca, hide, show, oh, professor, found, restricted, section, still, hot, mean, student, bed, pity, let, old, punishment, die, time, detention, would, find, hanging, thumb, dungeon, god, miss, screaming, serving, detention, hagrid, tonight, little, job, inside, dark, forest, sorry, lot, hagrid, oh, good, god, man, still, bloody, dragon, oh, god, sake, pull, together, man, going, forest, wit, werewolf, tree, lad, sure
snake;thanks
lucius malfoy;buying, today, borgin, selling, heard, course, ministry, magic, conducting, raid, even, rumor, new, muggle, protection, act, ah, item, home, might, prove, embarrassing, ministry, call, certain, poison, like, hopefully, son, amount, thief, borgin, though, mark, pick, would, thought, ashamed, girl, wizarding, family, beat, every, exam, good, expect, manor, tomorrow, draco, draco, play, nicely, potter, lucius, malfoy, meet, last, forgive, scar, legend, course, wizard, gave, must, brave, mention, name, foolish, must, miss, granger, draco, told, parent, muggles, let, red, hair, vacant, expression, tatty, secondhand, book, must, weasleys, well, well, well, weasley, senior, busy, time, ministry, arthur, extra, raid, hope, paying, overtime, judging, state, say, use, disgrace, name, wizard, even, pay, well, clearly, associating, muggles, thought, family, could, sink, lower, work, already, fudge, good, believe, take, absolutely, pleasure, inside, call, house, simply, called, school, told, headmaster, governor, decided, time, step, aside, order, suspension, find, signature, afraid, feel, rather, lost, touch, well, attack, left, hogwarts, imagine, awful, loss, would, school, think, admirable, sentiment, shall, fudge, deal, later, way, potter, true, returned, ridiculous, dare, sole, concern, always, always, welfare, school, course, student, culprit, identified, presume, well, let, u, hope, potter, always, around, save, day, dumbledore, dobby, leaving, mine, talking, prove, dobby, dobby, give, lost, servant, parent, meddlesome, fool, mark, word, potter, one, day, soon, going, meet, sticky, end
sorting hat;bee, bonnet, potter, particularly, difficult, place, stand, said, last, year, would, done, well, slytherin, ah, right, hmm, right, okay, gryffindor, slytherin, let, hufflepuff, another, weasley, gryffindor, hmm, difficult, difficult, plenty, courage, bad, mind, either, talent, oh, thirst, prove, put, slytherin, eh, sure, could, great, head, slytherin, help, way, greatness, doubt, well, sure, better, gryffindor
aragog;hagrid, hagrid, never, sent, men, hollow, lie, hagrid, never, opened, chamber, secret, monster, born, castle, came, hagrid, distant, land, pocket, traveler, speak, ancient, creature, spider, fear, others, never, saw, part, castle, box, hagrid, kept, girl, discovered, bathroom, accused, hagrid, brought, think, son, daughter, harm, hagrid, command, deny, fresh, meat, wanders, willingly, midst, goodbye, friend, hagrid
dudley;want, friend, waiting, open, door, dad, going, dad, hurry, dad, wake, cousin, going, zoo, many, last, year, last, year, care, big, make, move, move, boring, wo, believe, snake, mum, mummy, help, dad, look, harry, letter, stop, mummy, happening, daddy, gone, mad, harry
petunia;vernon, birthday, boy, cook, breakfast, try, burn, anything, want, everything, perfect, dudley, special, day, wonderful, darling, oh, going, going, buy, two, new, present, pumpkin, lovely, day, zoo, really, looking, forward, darling, boy, l, snake, right, sweetheart, cold, clothes, smile, vernon, look, ca, believe, week, smeltings, smeltings, stupid, going, state, school, belong, going, wearing, finish, dyeing, fit, well, enough, post, lovely, day, office, dear, course, knew, could, perfect, sister, mother, father, proud, day, letter, witch, family, wonderful, one, freak, met, potter, knew, would, strange, abnormal, please, went, blown, landed, say, something
neville;ron, ignored, one, gran, horrible, please, always, harry, better, harry, hermione, trevor, sorry, picture, moving, problem, ca, remember, forgotten, parvati, patil, said, would, girl, bathroom, said, afternoon, cry, barely, stand, need, set, bloody, kneecups, fire, hey, wait, going, countercurse, neither, sneaking, arent, wo, let, gryffindor, trouble, fight
boy;ravenclaws, follow, racing, broom, look, new, nimbus, fastest, model, yet, ravenclaw, follow, way, nice, going, harry, wicked, harry, stay, together
man in paint;welcome, hogwarts
fred;right, okay, shh, shh, ok, shh, lot, wo, cheap, mum, spell, book, alone, expensive, mention, dead, scared, harry, petrify, fly, anywhere, near, honestly, woman, call, mother, joking, fred, hey, well, done, harry, wood, told, u, brutal, one, died, year, someone, vanish, occasionally
mrs. weasley;harry, wonderful, dear, bed, empty, note, car, gone, could, died, could, seen, course, blame, harry, dear, well, best, hope, put, bar, window, ronald, weasley, harry, time, spot, breakfast, harry, tuck, dear, cat, morning, arthur, morning, son, flew, enchanted, car, surrey, back, last, night, arthur, well, errol, post, oh, fetch, percy, please, oh, manage, one, place, going, diagon, alley, right, harry, first, dear, first, ron, harry, done, quite, easy, dear, afraid, mind, head, right, take, floo, powder, good, forget, speak, clearly, say, dear, thought, harry, thank, goodness, hoped, gone, one, grate, far, ohh, harry, give, signed, wait, outside, ron, train, leaving, moment, oh, dear, train, leaving, moment, okay, ginny, seat, hurry, ronald, weasley, dare, steal, car, absolutely, disgusted, father, facing, inquiry, work, entirely, fault, put, another, toe, line, bring, straight, home, ginny, dear, congratulation, making, gryffindor, father, proud, every, year, packed, muggles, course, platform, way, right, percy, first, fred, next, oh, sorry, george, onto, platform, worry, dear, ron, first, time, hogwarts, well, walk, straight, wall, platform, best, bit, run, nervous
wood;spent, summer, devising, whole, new, quidditch, program, gon, na, train, earlier, harder, longer, believe, think, going, flint, booked, pitch, gryffindor, today, professor, severus, snape, hereby, give, slytherin, team, permission, practice, today, owing, need, train, new, seeker, new, seeker, watch, harry, right, listen, play, game, hufflepuff, doe, stand, chance, stronger, quicker, smarter, well, professor, mcgonagall, ca, cancel, quidditch
hermione;may, ask, plan, final, exam, wo, besides, according, professor, mcgonagall, given, special, quill, bewitched, anti, cheating, spell
gilderoy lockhart;let, introduce, new, defense, dark, art, teacher, gilderoy, lockhart, order, merlin, third, class, honorary, member, dark, force, defense, league, five, time, winner, witch, weekly, award, talk, rid, bandon, banshee, smiling, warned, job, arm, foulest, creature, known, wizardkind, may, find, facing, worst, fear, room, harm, befall, whilst, must, ask, scream, might, provoke, freshly, caught, cornish, pixy, laugh, finnegan, pixy, devilishly, tricky, little, blighter, let, make, round, round, pixy, peskipiksi, pesternomi, ask, three, nip, rest, back, cage, harry, harry, harry, possibly, imagine, better, way, serve, detention, helping, answer, fan, mail, fame, fickle, friend, harry, celebrity, celebrity, doe, remember, sorry, voice, talking, harry, think, getting, bit, drowsy, great, scott, wonder, look, time, nearly, four, hour, spooky, time, fly, one, fun, aghh, thought, unlucky, exactly, countercurse, could, spared, afraid, severus, harry, helping, answer, fan, mail, worry, harry, fix, arm, straight, away, boy, doe, saying, wo, hurt, bit, brackium, emendo, well, sometimes, happen, point, longer, feel, pain, clearly, bone, broken, much, flexible, though, gather, round, gather, round, everybody, hear, excellent, light, dark, event, recent, week, professor, dumbledore, granted, permission, start, dueling, club, train, case, ever, need, defend, done, countless, occasion, full, detail, published, work, let, introduce, assistant, professor, snape, sportingly, agreed, help, short, demonstration, want, youngster, worry, still, potion, master, never, fear, three, excellent, idea, show, professor, snape, mind, saying, obvious, wanted, stop, would, easy, excellent, suggestion, professor, snape, let, volunteer, pair, potter, weasley, good, luck, potter, wand, ready, count, three, cast, charm, disarm, opponent, disarm, want, accident, one, two, said, disarm, allow, professor, snape, alarte, ascendare, sorry, dozed, missed, moment, well, office, getting, getting, ready, well, urgent, call, unavoidable, well, aemm, unfortunate, one, regret, must, say, took, job, nothing, description, book, misleading, dear, boy, use, common, sense, book, would, sold, well, people, think, done, thing, mention, rather, gifted, memory, charm, otherwise, wizard, would, gone, blabbing, never, sold, another, book, fact, going, excellent, harry, good, work, well, need, stay, boy, good, obviously, sure, want, test, first, really, quite, filthy, look, like, snake, adventure, end, boy, fret, world, story, late, save, girl, two, tragically, lost, mind, sight, mangled, body, first, potter, say, goodbye, memory, obliviate, hello, really, odd, sort, place, live, really, amazing, like, magic
tom riddle;professor, dumbledore, professor, suppose, rumor, true, school, well, home, would, really, close, hogwarts, would, professor, sir, stopped, person, responsible, caught, sir, nothing, good, night, sir, evening, hagrid, going, turn, hagrid, think, meant, kill, anyone, dead, girl, parent, tomorrow, least, hogwarts, make, sure, thing, killed, daughter, slaughtered, monster, make, good, pet, hagrid, stand, aside, stand, aside, hagrid, cistem, aperio, arania, exumai, ca, let, wand, hagrid, expelled, wo, wake, still, alive, memory, preserved, diary, year, wo, called, wo, needing, afraid, ca, poor, ginny, grows, weaker, grow, stronger, harry, ginny, weasley, opened, chamber, secret, ginny, set, basilisk, mudbloods, filch, cat, ginny, wrote, threatening, message, wall, told, find, persuasive, knew, shall, say, kind, trance, still, power, diary, began, scare, tried, dispose, girl, bathroom, find, person, anxious, meet, knew, talk, meet, could, decided, show, capture, brainless, oaf, hagrid, gain, trust, word, hagrid, dumbledore, seemed, think, innocent, certainly, kept, annoyingly, close, watch, knew, would, safe, open, chamber, school, decided, leave, behind, diary, preserving, self, page, one, day, would, able, lead, another, finish, salazar, slytherin, noble, work, told, killing, mudbloods, doe, matter, anymore, many, month, new, target, baby, extraordinary, magical, talent, able, defeat, greatest, wizard, time, escape, nothing, scar, lord, voldemort, power, destroyed, voldemort, past, present, future, surely, think, going, keep, filthy, muggle, father, name, fashioned, new, name, name, knew, wizard, everywhere, would, fear, speak, became, greatest, sorcerer, world, dumbledore, driven, castle, mere, memory, dumbledore, sends, great, defender, songbird, old, hat, let, match, power, lord, voldemort, heir, salazar, slytherin, famous, harry, potter, parseltongue, wo, save, potter, obeys, bird, may, blinded, basilisk, still, hear, potter, process, nearly, complete, minute, ginny, weasley, dead, cease, memory, lord, voldemort, return, much, alive, remarkable, quickly, venom, basilisk, penetrates, body, guess, little, minute, live, dear, mudblood, mother, soon, harry, funny, damage, silly, little, book, especially, hand, silly, little, girl, stop
lee  jordan;snitch, harry, potter, receives, point, catching, snitch
class;good, morning, everyone, good, afternoon, madam, hooch, neville, swish, flick
fred;oh
george;oh
ron;oh
harry;oh
trainmaster;two, think, right, left, madam, think, funny, ya
flint;quidditch, practice, easy, wood, note, gift, draco, father, give, take, side
